id,infinitiv,presens,preteritum,perfektum,inflId
A22405nb,hardkoke,hardkoker,hardkokte,hardkokt,P020nb
A15311nb,flekke,flekker,flekka,flekka,P001nb
A15311nb,flekke,flekker,flekket,flekket,P010nb
A64226nb,umuliggjøre,umuliggjør,umuliggjorde,umuliggjort,P126nb
A16577nb,formidle,formidler,formidla,formidla,P001nb
A16577nb,formidle,formidler,formidlet,formidlet,P010nb
A53036nb,skjemte,skjemter,skjemta,skjemta,P001nb
A53036nb,skjemte,skjemter,skjemtet,skjemtet,P010nb
A37860nb,mene,mener,mente,ment,P020nb
A37860nb,meine,meiner,meinte,meint,P020nb
A54443nb,slime,slimer,slima,slima,P001nb
A54443nb,slime,slimer,slimet,slimet,P010nb
A30483nb,knekke,knekker,knekka,knekka,P001nb
A30483nb,knekke,knekker,knekket,knekket,P010nb
A30483nb,knekke,knekker,knekte,knekt,P021nb
A54670nb,sløye,sløyer,sløya,sløya,P001nb
A54670nb,sløye,sløyer,sløyet,sløyet,P010nb
A54670nb,sløye,sløyer,sløyde,sløyd,P030nb
A55688nb,sosialisere,sosialiserer,sosialiserte,sosialisert,P020nb
A26525nb,innkople,innkopler,innkopla,innkopla,P001nb
A26525nb,innkople,innkopler,innkoplet,innkoplet,P010nb
A26525nb,innkoble,innkobler,innkobla,innkobla,P001nb
A26525nb,innkoble,innkobler,innkoblet,innkoblet,P010nb
A27509nb,jamre,jamrer,jamra,jamra,P001nb
A27509nb,jamre,jamrer,jamret,jamret,P010nb
A28156nb,kadreie,kadreier,kadreia,kadreia,P001nb
A28156nb,kadreie,kadreier,kadreiet,kadreiet,P010nb
A28156nb,kadreie,kadreier,kadreide,kadreid,P030nb
A98337nb,allmenngjøre,allmenngjør,allmenngjorde,allmenngjort,P126nb
A3844nb,avspalte,avspalter,avspalta,avspalta,P001nb
A3844nb,avspalte,avspalter,avspaltet,avspaltet,P010nb
A34758nb,lekke,lekker,lekka,lekka,P001nb
